User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7867,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-26,Time: 9:13:11 AM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate315,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.542,0.366,0.7,0.456,0.315,0.311,0.518,0.355,0.694,0.376,0.329,0.3,0.504,0.34,0.663,0.404,0.293,0.308,0.52,0.35,0.699,0.426,0.31,0.305
Raw Data (Abs Spectrum),380,0.45,0.278,0.611,0.365,0.237,0.238,0.44,0.275,0.612,0.296,0.259,0.229,0.43,0.27,0.594,0.334,0.227,0.237,0.445,0.275,0.626,0.349,0.238,0.234
Raw Data (Abs Spectrum),390,0.426,0.253,0.588,0.338,0.216,0.214,0.417,0.252,0.589,0.273,0.238,0.206,0.409,0.248,0.573,0.311,0.208,0.215,0.423,0.254,0.607,0.326,0.218,0.211
Raw Data (Abs Spectrum),400,0.418,0.245,0.579,0.328,0.209,0.205,0.41,0.244,0.581,0.264,0.231,0.197,0.402,0.24,0.566,0.303,0.201,0.205,0.415,0.245,0.598,0.318,0.211,0.202
Raw Data (Abs Spectrum),410,0.417,0.24,0.582,0.324,0.205,0.198,0.409,0.239,0.585,0.26,0.228,0.19,0.403,0.236,0.568,0.299,0.198,0.198,0.415,0.241,0.602,0.315,0.208,0.196
Raw Data (Abs Spectrum),420,0.418,0.234,0.592,0.319,0.199,0.189,0.41,0.233,0.599,0.255,0.222,0.181,0.41,0.23,0.577,0.294,0.192,0.188,0.416,0.235,0.612,0.31,0.203,0.187
Raw Data (Abs Spectrum),430,0.416,0.231,0.594,0.316,0.197,0.184,0.409,0.229,0.601,0.253,0.219,0.176,0.408,0.227,0.579,0.291,0.189,0.183,0.414,0.232,0.615,0.307,0.201,0.181
Raw Data (Abs Spectrum),440,0.425,0.231,0.615,0.317,0.198,0.181,0.417,0.23,0.623,0.254,0.22,0.174,0.418,0.228,0.601,0.293,0.19,0.18,0.423,0.233,0.637,0.309,0.202,0.179
Raw Data (Abs Spectrum),450,0.418,0.226,0.612,0.309,0.194,0.175,0.41,0.225,0.621,0.247,0.216,0.169,0.412,0.223,0.598,0.286,0.186,0.174,0.416,0.228,0.634,0.303,0.198,0.173
