User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7934,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-27,Time: 12:21:51 PM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate315,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.774,0.473,0.948,0.536,0.321,0.371,0.731,0.349,0.936,0.486,0.312,0.306,0.823,0.38,0.925,0.527,0.28,0.309,0.717,0.437,0.989,0.512,0.325,0.318
Raw Data (Abs Spectrum),380,0.679,0.382,0.86,0.446,0.247,0.295,0.65,0.267,0.853,0.411,0.246,0.239,0.741,0.307,0.856,0.46,0.219,0.243,0.638,0.359,0.916,0.439,0.258,0.251
Raw Data (Abs Spectrum),390,0.65,0.354,0.833,0.419,0.228,0.267,0.623,0.243,0.825,0.39,0.228,0.219,0.712,0.283,0.831,0.438,0.205,0.224,0.611,0.335,0.891,0.418,0.24,0.231
Raw Data (Abs Spectrum),400,0.638,0.343,0.822,0.409,0.222,0.257,0.611,0.234,0.814,0.382,0.222,0.211,0.699,0.273,0.821,0.429,0.2,0.216,0.6,0.325,0.881,0.411,0.234,0.224
Raw Data (Abs Spectrum),410,0.638,0.337,0.826,0.406,0.221,0.249,0.611,0.227,0.818,0.382,0.221,0.207,0.696,0.266,0.825,0.428,0.201,0.213,0.599,0.319,0.886,0.411,0.234,0.221
Raw Data (Abs Spectrum),420,0.633,0.321,0.833,0.399,0.222,0.23,0.606,0.209,0.824,0.385,0.222,0.206,0.689,0.248,0.831,0.431,0.211,0.212,0.593,0.302,0.894,0.415,0.236,0.219
Raw Data (Abs Spectrum),430,0.632,0.317,0.838,0.397,0.221,0.224,0.605,0.206,0.829,0.384,0.221,0.203,0.686,0.244,0.836,0.429,0.209,0.208,0.592,0.299,0.901,0.414,0.235,0.215
Raw Data (Abs Spectrum),440,0.644,0.318,0.87,0.4,0.223,0.222,0.617,0.205,0.861,0.388,0.223,0.202,0.695,0.243,0.868,0.433,0.213,0.208,0.603,0.3,0.935,0.42,0.238,0.215
Raw Data (Abs Spectrum),450,0.63,0.308,0.86,0.39,0.221,0.213,0.604,0.197,0.851,0.381,0.22,0.198,0.68,0.234,0.858,0.425,0.212,0.203,0.59,0.291,0.924,0.412,0.235,0.211
Raw Data (Abs Spectrum),460,0.612,0.301,0.833,0.381,0.216,0.21,0.586,0.192,0.823,0.371,0.216,0.192,0.661,0.228,0.83,0.414,0.208,0.197,0.573,0.284,0.893,0.4,0.231,0.205
Raw Data (Abs Spectrum),470,0.6,0.299,0.818,0.375,0.211,0.211,0.575,0.194,0.808,0.361,0.21,0.186,0.649,0.229,0.815,0.403,0.199,0.191,0.563,0.283,0.877,0.389,0.225,0.199
Raw Data (Abs Spectrum),480,0.574,0.278,0.798,0.357,0.206,0.194,0.548,0.177,0.788,0.353,0.206,0.181,0.62,0.21,0.795,0.393,0.201,0.186,0.537,0.264,0.856,0.378,0.221,0.194
Raw Data (Abs Spectrum),490,0.544,0.26,0.766,0.341,0.199,0.178,0.519,0.163,0.755,0.342,0.199,0.174,0.59,0.195,0.763,0.382,0.198,0.179,0.508,0.246,0.822,0.366,0.213,0.186
Raw Data (Abs Spectrum),500,0.558,0.278,0.776,0.35,0.197,0.197,0.533,0.182,0.766,0.337,0.197,0.171,0.603,0.214,0.775,0.376,0.186,0.176,0.523,0.264,0.832,0.361,0.21,0.183
Raw Data (Abs Spectrum),510,0.545,0.271,0.764,0.34,0.193,0.193,0.52,0.178,0.755,0.329,0.193,0.167,0.588,0.209,0.762,0.366,0.183,0.171,0.511,0.258,0.819,0.351,0.206,0.178
Raw Data (Abs Spectrum),520,0.516,0.255,0.742,0.323,0.187,0.181,0.492,0.167,0.732,0.316,0.188,0.162,0.559,0.197,0.74,0.352,0.181,0.166,0.483,0.243,0.794,0.337,0.2,0.173
Raw Data (Abs Spectrum),530,0.479,0.229,0.704,0.301,0.182,0.16,0.456,0.145,0.695,0.306,0.183,0.158,0.521,0.173,0.702,0.341,0.185,0.161,0.447,0.217,0.754,0.325,0.195,0.168
Raw Data (Abs Spectrum),540,0.467,0.226,0.681,0.295,0.178,0.16,0.444,0.144,0.673,0.298,0.179,0.154,0.508,0.172,0.679,0.332,0.179,0.158,0.436,0.214,0.73,0.316,0.191,0.165
Raw Data (Abs Spectrum),550,0.467,0.233,0.668,0.296,0.174,0.169,0.443,0.154,0.661,0.291,0.175,0.15,0.506,0.182,0.667,0.324,0.169,0.154,0.436,0.223,0.715,0.308,0.186,0.161
Raw Data (Abs Spectrum),560,0.465,0.235,0.664,0.296,0.172,0.172,0.442,0.158,0.656,0.288,0.173,0.148,0.503,0.185,0.663,0.321,0.165,0.152,0.435,0.225,0.71,0.304,0.184,0.159
Raw Data (Abs Spectrum),570,0.456,0.227,0.655,0.291,0.171,0.165,0.432,0.151,0.647,0.287,0.171,0.146,0.493,0.177,0.654,0.319,0.167,0.15,0.425,0.217,0.701,0.303,0.182,0.157
