User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7962,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-28,Time: 12:18:07 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate315,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18
Raw Data (Abs Spectrum),370,0.939,0.376,1.152,0.479,0.286,0.293,0.94,0.348,1.106,0.576,0.285,0.295,0.927,0.477,1.192,0.61,0.319,0.295
Raw Data (Abs Spectrum),380,0.866,0.305,1.079,0.408,0.225,0.232,0.869,0.284,1.05,0.512,0.228,0.236,0.858,0.409,1.133,0.541,0.257,0.233
Raw Data (Abs Spectrum),390,0.849,0.291,1.067,0.392,0.212,0.218,0.852,0.271,1.04,0.496,0.216,0.222,0.84,0.394,1.126,0.524,0.244,0.22
Raw Data (Abs Spectrum),400,0.841,0.286,1.061,0.385,0.208,0.213,0.843,0.265,1.034,0.489,0.212,0.217,0.833,0.387,1.121,0.517,0.24,0.215
Raw Data (Abs Spectrum),410,0.849,0.287,1.076,0.388,0.211,0.214,0.852,0.265,1.052,0.491,0.215,0.218,0.841,0.388,1.141,0.521,0.243,0.217
Raw Data (Abs Spectrum),420,0.882,0.302,1.125,0.405,0.227,0.228,0.884,0.28,1.099,0.508,0.231,0.233,0.873,0.407,1.191,0.541,0.261,0.231
Raw Data (Abs Spectrum),430,0.884,0.3,1.139,0.405,0.226,0.226,0.886,0.277,1.112,0.507,0.23,0.231,0.875,0.406,1.206,0.541,0.26,0.23
Raw Data (Abs Spectrum),440,0.905,0.303,1.184,0.41,0.231,0.229,0.905,0.28,1.156,0.512,0.235,0.234,0.895,0.414,1.254,0.55,0.265,0.233
Raw Data (Abs Spectrum),450,0.896,0.301,1.172,0.407,0.231,0.227,0.896,0.277,1.147,0.507,0.235,0.231,0.886,0.409,1.241,0.544,0.265,0.231
