User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 8028,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-30,Time: 10:09:46 AM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate315,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18
Raw Data (Abs Spectrum),370,1.228,0.427,1.654,0.721,0.367,0.376,1.188,0.448,1.631,0.712,0.412,0.375,1.338,0.664,1.753,0.828,0.397,0.384
Raw Data (Abs Spectrum),380,1.151,0.351,1.59,0.642,0.301,0.309,1.112,0.38,1.575,0.644,0.35,0.31,1.259,0.59,1.68,0.752,0.33,0.317
Raw Data (Abs Spectrum),390,1.128,0.331,1.574,0.618,0.283,0.289,1.088,0.361,1.559,0.621,0.332,0.29,1.237,0.569,1.668,0.728,0.312,0.297
Raw Data (Abs Spectrum),400,1.121,0.323,1.571,0.609,0.277,0.28,1.081,0.352,1.552,0.613,0.327,0.282,1.228,0.559,1.669,0.719,0.306,0.289
Raw Data (Abs Spectrum),410,1.133,0.321,1.603,0.61,0.277,0.276,1.095,0.35,1.585,0.615,0.326,0.279,1.241,0.557,1.707,0.724,0.306,0.285
Raw Data (Abs Spectrum),420,1.16,0.322,1.658,0.616,0.278,0.273,1.119,0.35,1.636,0.621,0.328,0.276,1.265,0.562,1.766,0.734,0.309,0.283
Raw Data (Abs Spectrum),430,1.165,0.319,1.684,0.616,0.276,0.267,1.123,0.346,1.664,0.621,0.325,0.271,1.269,0.558,1.797,0.736,0.307,0.277
Raw Data (Abs Spectrum),440,1.188,0.323,1.748,0.623,0.279,0.266,1.146,0.349,1.726,0.628,0.329,0.27,1.29,0.565,1.863,0.748,0.311,0.277
Raw Data (Abs Spectrum),450,1.168,0.317,1.711,0.613,0.275,0.258,1.126,0.343,1.69,0.617,0.325,0.262,1.269,0.554,1.823,0.735,0.307,0.269
Raw Data (Abs Spectrum),460,1.132,0.309,1.63,0.597,0.27,0.251,1.093,0.333,1.615,0.602,0.32,0.254,1.233,0.539,1.734,0.713,0.301,0.261
Raw Data (Abs Spectrum),470,1.098,0.3,1.586,0.583,0.264,0.244,1.063,0.324,1.57,0.588,0.314,0.246,1.199,0.523,1.686,0.694,0.295,0.254
Raw Data (Abs Spectrum),480,1.069,0.291,1.564,0.566,0.258,0.236,1.036,0.313,1.548,0.572,0.307,0.238,1.168,0.506,1.661,0.673,0.289,0.245
Raw Data (Abs Spectrum),490,1.033,0.28,1.524,0.548,0.248,0.224,1,0.301,1.51,0.554,0.296,0.226,1.131,0.486,1.619,0.651,0.277,0.233
Raw Data (Abs Spectrum),500,1.018,0.277,1.505,0.543,0.247,0.223,0.989,0.298,1.489,0.549,0.296,0.224,1.116,0.48,1.599,0.645,0.276,0.231
Raw Data (Abs Spectrum),510,0.99,0.27,1.468,0.529,0.243,0.217,0.964,0.29,1.456,0.535,0.292,0.219,1.088,0.467,1.561,0.626,0.272,0.225
Raw Data (Abs Spectrum),520,0.945,0.259,1.427,0.506,0.235,0.21,0.921,0.279,1.413,0.513,0.284,0.211,1.042,0.447,1.51,0.597,0.263,0.217
Raw Data (Abs Spectrum),530,0.906,0.248,1.378,0.485,0.227,0.202,0.884,0.267,1.365,0.493,0.275,0.202,1.002,0.427,1.458,0.57,0.255,0.208
Raw Data (Abs Spectrum),540,0.875,0.241,1.327,0.471,0.222,0.197,0.856,0.259,1.314,0.479,0.27,0.197,0.971,0.413,1.403,0.552,0.249,0.203
Raw Data (Abs Spectrum),550,0.849,0.235,1.283,0.46,0.218,0.193,0.831,0.252,1.27,0.469,0.266,0.193,0.943,0.401,1.357,0.539,0.244,0.199
Raw Data (Abs Spectrum),560,0.835,0.232,1.269,0.455,0.216,0.191,0.819,0.249,1.257,0.464,0.264,0.191,0.93,0.395,1.345,0.532,0.242,0.197
Raw Data (Abs Spectrum),570,0.83,0.229,1.271,0.451,0.214,0.188,0.813,0.245,1.258,0.46,0.262,0.188,0.922,0.39,1.349,0.529,0.241,0.194
Raw Data (Abs Spectrum),580,0.825,0.227,1.276,0.449,0.214,0.186,0.809,0.243,1.264,0.459,0.261,0.186,0.917,0.387,1.359,0.528,0.24,0.192
Raw Data (Abs Spectrum),590,0.829,0.228,1.299,0.45,0.215,0.186,0.811,0.243,1.284,0.46,0.263,0.187,0.919,0.388,1.385,0.531,0.242,0.193
Raw Data (Abs Spectrum),600,0.823,0.226,1.315,0.448,0.214,0.184,0.806,0.241,1.301,0.459,0.261,0.185,0.912,0.386,1.405,0.53,0.241,0.191
Raw Data (Abs Spectrum),610,0.821,0.227,1.341,0.45,0.213,0.182,0.803,0.241,1.326,0.461,0.26,0.182,0.908,0.387,1.435,0.534,0.24,0.189
Raw Data (Abs Spectrum),620,0.844,0.23,1.395,0.459,0.216,0.182,0.824,0.245,1.378,0.471,0.265,0.184,0.928,0.395,1.496,0.549,0.244,0.19
Raw Data (Abs Spectrum),630,0.866,0.231,1.409,0.463,0.217,0.18,0.844,0.245,1.391,0.475,0.265,0.182,0.949,0.397,1.509,0.556,0.245,0.188
Raw Data (Abs Spectrum),640,0.863,0.23,1.369,0.459,0.215,0.176,0.84,0.244,1.354,0.471,0.263,0.178,0.943,0.395,1.469,0.552,0.242,0.184
Raw Data (Abs Spectrum),650,0.825,0.223,1.318,0.443,0.209,0.173,0.806,0.237,1.305,0.455,0.257,0.174,0.906,0.381,1.415,0.53,0.236,0.18
Raw Data (Abs Spectrum),660,0.789,0.215,1.295,0.427,0.203,0.17,0.772,0.228,1.282,0.439,0.25,0.171,0.87,0.365,1.39,0.508,0.229,0.177
Raw Data (Abs Spectrum),670,0.795,0.214,1.349,0.428,0.203,0.172,0.778,0.228,1.333,0.439,0.25,0.173,0.875,0.364,1.449,0.511,0.23,0.179
Raw Data (Abs Spectrum),680,0.819,0.218,1.431,0.435,0.206,0.173,0.8,0.232,1.415,0.446,0.254,0.176,0.898,0.369,1.538,0.523,0.234,0.181
Raw Data (Abs Spectrum),690,0.789,0.211,1.37,0.42,0.201,0.168,0.773,0.225,1.356,0.431,0.248,0.17,0.868,0.356,1.468,0.502,0.227,0.176
Raw Data (Abs Spectrum),700,0.737,0.2,1.24,0.395,0.193,0.161,0.723,0.213,1.23,0.406,0.238,0.162,0.815,0.335,1.324,0.467,0.218,0.167
Raw Data (Abs Spectrum),710,0.704,0.194,1.173,0.381,0.189,0.158,0.694,0.206,1.162,0.393,0.234,0.159,0.781,0.322,1.25,0.448,0.213,0.164
Raw Data (Abs Spectrum),720,0.682,0.19,1.127,0.371,0.185,0.155,0.672,0.202,1.118,0.383,0.23,0.155,0.758,0.313,1.204,0.435,0.208,0.161
Raw Data (Abs Spectrum),730,0.669,0.189,1.104,0.367,0.185,0.156,0.66,0.2,1.095,0.379,0.23,0.156,0.745,0.309,1.181,0.429,0.208,0.162
Raw Data (Abs Spectrum),740,0.656,0.188,1.082,0.362,0.185,0.156,0.648,0.199,1.072,0.374,0.229,0.155,0.73,0.305,1.157,0.422,0.207,0.161
Raw Data (Abs Spectrum),750,0.643,0.185,1.065,0.357,0.183,0.154,0.635,0.196,1.056,0.369,0.227,0.154,0.716,0.299,1.142,0.414,0.205,0.16
