User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7801,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-24,Time: 2:12:19 PM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate315_blank,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.264,0.249,0.252,0.245,0.242,0.223,0.242,0.234,0.248,0.233,0.229,0.224,0.24,0.222,0.228,0.236,0.227,0.223,0.241,0.23,0.232,0.229,0.232,0.216
Raw Data (Abs Spectrum),380,0.155,0.145,0.144,0.142,0.15,0.139,0.15,0.141,0.145,0.142,0.146,0.144,0.151,0.14,0.142,0.155,0.149,0.144,0.152,0.142,0.142,0.142,0.148,0.137
Raw Data (Abs Spectrum),390,0.129,0.118,0.117,0.117,0.125,0.116,0.125,0.116,0.118,0.118,0.123,0.121,0.126,0.117,0.117,0.13,0.126,0.121,0.128,0.119,0.117,0.118,0.124,0.114
Raw Data (Abs Spectrum),400,0.119,0.109,0.108,0.108,0.116,0.107,0.115,0.108,0.109,0.109,0.114,0.112,0.116,0.108,0.108,0.121,0.117,0.113,0.118,0.111,0.108,0.11,0.115,0.106
Raw Data (Abs Spectrum),410,0.113,0.103,0.101,0.101,0.109,0.102,0.108,0.102,0.102,0.103,0.108,0.106,0.11,0.102,0.102,0.115,0.111,0.108,0.111,0.105,0.102,0.104,0.109,0.101
Raw Data (Abs Spectrum),420,0.106,0.097,0.095,0.096,0.103,0.096,0.102,0.096,0.096,0.097,0.102,0.101,0.104,0.097,0.096,0.108,0.105,0.102,0.105,0.1,0.095,0.098,0.102,0.096
Raw Data (Abs Spectrum),430,0.102,0.093,0.092,0.093,0.099,0.093,0.098,0.093,0.092,0.094,0.098,0.097,0.1,0.093,0.092,0.104,0.101,0.098,0.101,0.096,0.092,0.094,0.099,0.093
Raw Data (Abs Spectrum),440,0.099,0.09,0.089,0.09,0.096,0.09,0.095,0.089,0.089,0.091,0.096,0.095,0.096,0.09,0.089,0.101,0.098,0.096,0.097,0.094,0.088,0.091,0.096,0.09
Raw Data (Abs Spectrum),450,0.097,0.088,0.086,0.088,0.094,0.088,0.092,0.087,0.087,0.089,0.093,0.093,0.093,0.088,0.087,0.098,0.095,0.094,0.095,0.092,0.086,0.089,0.093,0.089
Raw Data (Abs Spectrum),460,0.096,0.086,0.085,0.086,0.092,0.088,0.09,0.086,0.086,0.088,0.092,0.092,0.091,0.086,0.085,0.097,0.094,0.093,0.093,0.091,0.085,0.088,0.092,0.088
Raw Data (Abs Spectrum),470,0.094,0.085,0.084,0.085,0.091,0.087,0.089,0.084,0.085,0.087,0.09,0.091,0.089,0.085,0.084,0.095,0.093,0.092,0.091,0.09,0.084,0.087,0.092,0.087
Raw Data (Abs Spectrum),480,0.092,0.082,0.081,0.083,0.088,0.085,0.087,0.082,0.082,0.084,0.088,0.088,0.087,0.083,0.082,0.092,0.09,0.089,0.089,0.088,0.082,0.084,0.089,0.085
Raw Data (Abs Spectrum),490,0.089,0.081,0.08,0.081,0.086,0.082,0.085,0.081,0.08,0.082,0.086,0.086,0.086,0.081,0.08,0.09,0.087,0.086,0.087,0.085,0.08,0.082,0.086,0.083
Raw Data (Abs Spectrum),500,0.089,0.081,0.08,0.082,0.087,0.083,0.085,0.081,0.081,0.083,0.086,0.087,0.085,0.081,0.08,0.091,0.088,0.088,0.086,0.086,0.08,0.083,0.087,0.083
Raw Data (Abs Spectrum),510,0.088,0.08,0.079,0.081,0.086,0.083,0.084,0.08,0.08,0.082,0.085,0.086,0.084,0.081,0.08,0.09,0.088,0.087,0.086,0.085,0.08,0.083,0.086,0.083
Raw Data (Abs Spectrum),520,0.087,0.08,0.078,0.08,0.085,0.082,0.082,0.079,0.079,0.081,0.084,0.085,0.083,0.08,0.079,0.088,0.086,0.086,0.084,0.085,0.079,0.082,0.085,0.082
Raw Data (Abs Spectrum),530,0.086,0.078,0.077,0.079,0.083,0.08,0.081,0.078,0.077,0.079,0.083,0.083,0.082,0.078,0.077,0.086,0.084,0.084,0.083,0.083,0.077,0.079,0.083,0.08
Raw Data (Abs Spectrum),540,0.086,0.077,0.077,0.079,0.082,0.08,0.08,0.077,0.077,0.079,0.082,0.083,0.081,0.078,0.076,0.086,0.084,0.084,0.083,0.083,0.077,0.079,0.083,0.08
Raw Data (Abs Spectrum),550,0.085,0.078,0.077,0.079,0.083,0.081,0.08,0.077,0.077,0.079,0.083,0.084,0.081,0.078,0.077,0.086,0.085,0.085,0.082,0.083,0.077,0.08,0.083,0.081
Raw Data (Abs Spectrum),560,0.085,0.077,0.077,0.079,0.083,0.081,0.08,0.077,0.077,0.079,0.083,0.084,0.081,0.078,0.077,0.086,0.085,0.085,0.082,0.083,0.077,0.08,0.084,0.081
Raw Data (Abs Spectrum),570,0.084,0.077,0.076,0.078,0.082,0.08,0.079,0.077,0.076,0.078,0.081,0.083,0.08,0.077,0.076,0.085,0.083,0.084,0.081,0.083,0.076,0.079,0.082,0.08
Raw Data (Abs Spectrum),580,0.084,0.077,0.076,0.078,0.082,0.08,0.079,0.076,0.076,0.079,0.081,0.083,0.08,0.077,0.076,0.085,0.084,0.084,0.081,0.083,0.076,0.079,0.082,0.08
Raw Data (Abs Spectrum),590,0.084,0.076,0.076,0.078,0.082,0.081,0.079,0.076,0.076,0.079,0.082,0.084,0.079,0.077,0.076,0.085,0.083,0.085,0.081,0.083,0.076,0.079,0.083,0.081
Raw Data (Abs Spectrum),600,0.084,0.076,0.075,0.078,0.082,0.08,0.078,0.076,0.076,0.078,0.081,0.083,0.079,0.077,0.076,0.084,0.083,0.084,0.08,0.083,0.076,0.079,0.082,0.08
Raw Data (Abs Spectrum),610,0.083,0.076,0.075,0.077,0.081,0.08,0.078,0.076,0.076,0.078,0.08,0.082,0.078,0.076,0.075,0.084,0.082,0.083,0.08,0.082,0.076,0.078,0.081,0.08
Raw Data (Abs Spectrum),620,0.083,0.076,0.075,0.077,0.081,0.08,0.077,0.075,0.075,0.078,0.08,0.083,0.078,0.076,0.075,0.084,0.082,0.084,0.079,0.082,0.076,0.078,0.082,0.08
Raw Data (Abs Spectrum),630,0.082,0.075,0.074,0.076,0.08,0.079,0.076,0.075,0.075,0.077,0.079,0.081,0.077,0.075,0.075,0.083,0.081,0.082,0.079,0.081,0.075,0.077,0.08,0.079
Raw Data (Abs Spectrum),640,0.081,0.075,0.074,0.076,0.079,0.078,0.076,0.074,0.074,0.076,0.079,0.081,0.077,0.075,0.074,0.082,0.081,0.082,0.078,0.081,0.075,0.077,0.08,0.078
Raw Data (Abs Spectrum),650,0.081,0.074,0.074,0.076,0.079,0.078,0.076,0.074,0.074,0.076,0.079,0.081,0.076,0.075,0.074,0.082,0.08,0.082,0.078,0.081,0.074,0.077,0.079,0.078
Raw Data (Abs Spectrum),660,0.081,0.074,0.074,0.075,0.079,0.078,0.076,0.074,0.074,0.076,0.078,0.08,0.076,0.074,0.074,0.081,0.079,0.081,0.077,0.08,0.074,0.076,0.079,0.078
Raw Data (Abs Spectrum),670,0.081,0.074,0.073,0.075,0.078,0.078,0.075,0.074,0.074,0.076,0.078,0.08,0.076,0.074,0.073,0.081,0.079,0.081,0.077,0.08,0.074,0.076,0.079,0.078
Raw Data (Abs Spectrum),680,0.08,0.073,0.073,0.075,0.078,0.078,0.075,0.073,0.073,0.075,0.077,0.08,0.075,0.074,0.073,0.081,0.079,0.081,0.077,0.08,0.073,0.076,0.078,0.078
Raw Data (Abs Spectrum),690,0.08,0.074,0.073,0.075,0.079,0.078,0.075,0.074,0.073,0.076,0.078,0.08,0.075,0.074,0.073,0.081,0.079,0.081,0.077,0.08,0.073,0.076,0.079,0.078
Raw Data (Abs Spectrum),700,0.081,0.074,0.073,0.075,0.078,0.077,0.075,0.074,0.074,0.075,0.077,0.079,0.076,0.074,0.073,0.08,0.079,0.08,0.077,0.081,0.073,0.076,0.078,0.078
Raw Data (Abs Spectrum),710,0.081,0.075,0.075,0.076,0.08,0.079,0.076,0.075,0.075,0.077,0.079,0.081,0.077,0.075,0.075,0.082,0.08,0.082,0.078,0.082,0.075,0.077,0.08,0.079
Raw Data (Abs Spectrum),720,0.083,0.076,0.076,0.077,0.081,0.08,0.077,0.076,0.076,0.078,0.08,0.082,0.078,0.077,0.076,0.083,0.081,0.083,0.079,0.083,0.076,0.079,0.08,0.08
Raw Data (Abs Spectrum),730,0.085,0.079,0.079,0.08,0.083,0.083,0.08,0.078,0.079,0.08,0.083,0.084,0.08,0.079,0.078,0.085,0.084,0.086,0.081,0.086,0.079,0.081,0.083,0.083
Raw Data (Abs Spectrum),740,0.087,0.081,0.081,0.083,0.086,0.086,0.083,0.081,0.082,0.083,0.085,0.087,0.083,0.082,0.081,0.088,0.087,0.088,0.084,0.088,0.081,0.084,0.086,0.086
Raw Data (Abs Spectrum),750,0.087,0.082,0.082,0.083,0.086,0.086,0.083,0.081,0.082,0.084,0.085,0.087,0.083,0.082,0.081,0.088,0.086,0.088,0.084,0.089,0.081,0.084,0.086,0.086
